screen_name,follow_count
AubreyNPRFood,5811
JMGarilleti,5796
ScottSeaborn,5780
XEcoin,5773
futboadictos,5727
ChaplinHart,5712
denisehterry,5672
LucaSucci,5658
DickBerlijn,5651
The_FifthHokage,5641
Loufamilia,5634
_NattyP,5608
leehumphries100,5589
drskee,5585
yzar_yzar,5566
Otel_Comfort,5531
anisbazza,5516
lrishstu,5493
Betto7007,5483
pjmattson,5453
greekteachers,5379
falconua,5362
Artzthings,5341
IVMFSyracuseU,5249
SomosHembrotas,5249
qypoi,5227
WeAreDuplexUK,5226
reemomar90,5155
olyakuznetsova,5149
DFortin63,5133
babichev,5110
macharia713,5084
noyoncherby,5067
SharieSpironhi,5052
slackk_,5031
WilliGarzon,4993
bigdude2015,4989
JessicaStrutt,4954
1Patelzuber,4939
lito_dat,4934
Moulka123iclou2,4920
IgnacioStanke,4898
keibazakki,4889
phanindraktm,4884
BeatAuctionATL,4882
whitegl,4877
JeremyZuckerman,4818
Alecoalec,4790
isotchan,4735
robertdpalmer,4712
romanovsun,4711
mikamiryutaro,4692
Nolanplumbing,4639
JoshuaKarp,4635
DrAwadi,4630
shawnvenasse,4565
WRogersM,4561
fifdh,4550
Machiavellistic,4547
Gary_Batey,4542
Nelissh,4536
miguelcastro67,4527
ChecklistBoards,4509
marcelotapini,4484
KoladeOnahill,4446
ItsJustCorrina,4444
Rregmee77,4443
SuperAaronBurr,4434
RanttNews,4367
Saxbys,4367
FlawlessBegetz,4364
RMGSelection,4358
wfaatraffic,4346
crookedwren,4341
AshleyG_KVUE,4311
themaastrix,4305
ajaj_79,4261
stolarmusic,4205
BeerlaoBeerlao,4199
devisridhar,4185
asa,4163
DeplorableMarsh,4149
tj_mcadams,4144
4LoveofCupcakes,4142
Ramazan_Gaziev,4141
BMakuch,4120
markmct1,4117
TrueJihad,4109
hbeaudouin,4106
RtAbrand,4099
DehDynamicDuo,4090
quotedian,4089
RihKatyStan,4079
gabiwaldner,4077
_ANILE_,4027
Tricomke,4010
procopsiu,3999
EmpireMaker2,3993
H_A_S_H_T_A_G_S,3958
DJJelleDesmet,3950
Johnludds,3937
pirescarol,3932
PatriotConnLa,3921
IAD_RD,3919
DodgeVision,3905
NealEvans56,3905
dbavigil,3892
elenafortes,3890
JoshAbraham,3879
numbers2007,3877
JetSetReport,3865
tube2tube,3844
MottyIlowitz,3835
dmtrmon,3829
HagayBehar,3826
Excalibah,3826
KwameTaku,3821
nilesG,3821
mihonog,3821
tanvirarain,3808
lbc2020,3757
kenmckelvey224,3738
suehaswell,3725
lisamedley,3721
EbuAnalyst,3706
NickkTitan,3677
Ryan_Knutson,3672
bjhguerin,3665
ValoresReais,3656
eppalzero,3652
ioann_A,3646
WouterMeijer_,3644
EaddyinRaleigh,3644
zacwoodward,3636
AnneCutler,3594
alwaily6666,3589
gordon_white,3561
NickGass,3553
herbertoneiljr,3553
Czla_Don,3543
jrsmith1154,3530
JordanNews4,3527
19rbw17,3521
GhulamGd62f,3508
caferbal42,3502
beursbulletin,3493
LIBDJBLUE,3487
CarlaCaballeros,3478
AmyG_NH,3472
tinaannforkner,3466
malvaradin,3458
jahaz10,3446
MladenSkendzic,3445
AlPoppie25,3427
Kgthetweet,3419
daphneallen111,3411
DADECOUNTYDON,3401
robertmanodzmm,3376
producedbysho,3374
TraxNYC,3373
nyfaceoff,3373
eric_gray,3356
Ethiotoday,3354
nataliacuevasg,3348
nicholascaj,3346
MarocAmar,3344
lenny3k,3343
MIX1051Utah,3314
kitagawa_takuji,3300
samuelumukoro,3299
sppsatya1998,3297
haryjay57,3295
MoisesBouvier,3294
gavinhenson82,3293
FormbyCycles,3291
techrez,3269
